,Symbol ,Company Name ,Industry ,Market Cap 
166,AGRX,Agile Therapeutics,Drug Manufacturers - Specialty & Generic,3.68M
167,AGS,PlayAGS,Gambling,246.46M
168,AGTI,Agiliti,Health Information Services,780.64M
169,AGX,Argan,Engineering & Construction,621.98M
170,AGYS,Agilysys,Software - Application,1.79B
171,AHCO,AdaptHealth,Medical Devices,1.14B
172,AHG,Akso Health Group,Credit Services,36.81M
173,AHH,Armada Hoffler Properties,REIT - Diversified,946.54M
174,AHI,Advanced Human Imaging,Software - Application,17.15M
175,AHT,Ashford Hospitality Trust,REIT - Hotel & Motel,92.34M
176,AI,C3.ai,Information Technology Services,3.16B
177,AIB,AIB Acquisition,Shell Companies,41.18M
178,AIG,American International Group,Insurance - Diversified,43.55B
179,AIH,Aesthetic Medical International Holdings Group,Medical Care Facilities,37.57M
180,AIHS,Senmiao Technology,Credit Services,3.61M
181,AIM,AIM ImmunoTech,Biotechnology,22.63M
182,AIMAU,Aimfinity Investment I,Shell Companies,112.72M
183,AIMD,Ainos,Biotechnology,13.19M
184,AIN,Albany International,Textile Manufacturing,2.71B
185,AINC,Ashford,Asset Management,19.25M
186,AIP,Arteris,Semiconductors,219.69M
187,AIR,AAR Corp.,Aerospace & Defense,2.15B
188,AIRC,Apartment Income REIT,REIT - Residential,4.62B
189,AIRG,Airgain,Communication Equipment,36.59M
190,AIRI,Air Industries Group,Aerospace & Defense,9.90M
191,AIRS,AirSculpt Technologies,Medical Care Facilities,424.75M
192,AIRT,Air T,Integrated Freight & Logistics,63.82M
193,AIT,Applied Industrial Technologies,Industrial Distribution,6.11B
194,AIU,Meta Data,Education & Training Services,17.67B
195,AIV,Apartment Investment and Management Company,REIT - Residential,959.41M
196,AIXI,Xiao-I,Software - Application,152.02M
197,AIZ,Assurant,Insurance - Specialty,7.74B
198,AJG,Arthur J. Gallagher & Co.,Insurance Brokers,50.32B
199,AJX,Great Ajax,REIT - Mortgage,155.71M
200,AKA,a.k.a. Brands Holding,Internet Retail,50.32M
201,AKAM,Akamai Technologies,Software - Infrastructure,16.41B
202,AKAN,Akanda,Drug Manufacturers - Specialty & Generic,1.88M
203,AKBA,Akebia Therapeutics,Biotechnology,201.50M
204,AKLI,Akili,Health Information Services,36.76M
205,AKO.A,Embotelladora Andina,Beverages - Non-Alcoholic,1.93B
206,AKO.B,Embotelladora Andina,Beverages - Non-Alcoholic,1.99B
207,AKR,Acadia Realty Trust,REIT - Retail,1.46B
208,AKRO,Akero Therapeutics,Biotechnology,1.01B
209,AKTS,Akoustis Technologies,Communication Equipment,61.54M
210,AKTX,"Akari Therapeutics,",Biotechnology,18.07M
211,AKU,Akumin,Diagnostics & Research,13.16M
212,AKYA,Akoya Biosciences,Medical Instruments & Supplies,196.74M
213,AL,Air Lease,Rental & Leasing Services,4.06B
214,ALAR,Alarum Technologies,Software - Infrastructure,25.65M
215,ALB,Albemarle,Specialty Chemicals,19.02B
216,ALBT,Avalon GloboCare,Real Estate Services,8.55M
217,ALC,Alcon,Medical Instruments & Supplies,37.68B
218,ALCC,AltC Acquisition,Shell Companies,660.60M
219,ALCO,Alico,Farm Products,191.41M
220,ALCY,Alchemy Investments Acquisition Corp 1,Shell Companies,154.60M
221,ALDX,Aldeyra Therapeutics,Biotechnology,348.06M
222,ALE,ALLETE,Utilities - Diversified,3.05B
223,ALEC,Alector,Biotechnology,528.97M
224,ALEX,Alexander & Baldwin,REIT - Diversified,1.19B
225,ALG,Alamo Group,Farm & Heavy Construction Machinery,2.11B
226,ALGM,Allegro MicroSystems,Semiconductors,5.98B
227,ALGN,Align Technology,Medical Devices,21.93B
228,ALGS,Aligos Therapeutics,Biotechnology,32.63M
229,ALGT,Allegiant Travel Company,Airlines,1.40B
230,ALHC,Alignment Healthcare,Healthcare Plans,1.37B
231,ALIM,Alimera Sciences,Drug Manufacturers - Specialty & Generic,164.07M
232,ALIT,Alight,Software - Application,3.85B
233,ALK,Alaska Air Group,Airlines,4.44B
234,ALKS,Alkermes,Biotechnology,4.73B
235,ALKT,Alkami Technology,Software - Application,1.63B
236,ALL,The Allstate Corporation,Insurance - Property & Casualty,30.01B
237,ALLE,Allegion,Security & Protection Services,9.26B
238,ALLG,Allego,Auto Parts,529.03M
239,ALLK,Allakos,Biotechnology,198.61M
240,ALLO,Allogene Therapeutics,Biotechnology,524.67M
241,ALLR,Allarity Therapeutics,Biotechnology,1.80M
242,ALLT,Allot,Software - Infrastructure,83.46M
243,ALLY,Ally Financial,Credit Services,7.83B
244,ALNT,Allient,Electronic Components,489.60M
245,ALNY,Alnylam Pharmaceuticals,Biotechnology,21.13B
246,ALOR,ALSP Orchid Acquisition Corporation I,Shell Companies,78.96M
247,ALOT,AstroNova,Computer Hardware,93.25M
248,ALPN,Alpine Immune Sciences,Biotechnology,530.88M
249,ALPP,Alpine 4 Holdings,Metal Fabrication,16.63M
250,ALRM,Alarm.com Holdings,Software - Application,3.00B
251,ALRN,Aileron Therapeutics,Biotechnology,6.31M
252,ALRS,Alerus Financial,Banks - Regional,362.45M
253,ALSA,Alpha Star Acquisition,Shell Companies,135.81M
254,ALSN,Allison Transmission Holdings,Auto Parts,5.36B
255,ALT,Altimmune,Biotechnology,143.83M
256,ALTG,Alta Equipment Group,Rental & Leasing Services,378.06M
257,ALTI,AlTi Global,Asset Management,798.14M
258,ALTO,Alto Ingredients,Specialty Chemicals,322.62M
259,ALTR,Altair Engineering,Software - Infrastructure,5.44B
260,ALTU,Altitude Acquisition,Shell Companies,89.58M
261,ALUR,Allurion Technologies,Medical Devices,202.20M
262,ALV,Autoliv,Auto Parts,8.14B
263,ALVO,Alvotech,Drug Manufacturers - Specialty & Generic,2.49B
264,ALVR,AlloVir,Biotechnology,219.77M
265,ALX,Alexander's,REIT - Retail,909.97M
266,ALXO,ALX Oncology Holdings,Biotechnology,391.77M
267,ALYA,Alithya Group,Information Technology Services,156.77M
268,ALZN,Alzamend Neuro,Biotechnology,20.55M
269,AM,Antero Midstream,Oil & Gas Midstream,5.86B
270,AMAL,Amalgamated Financial,Banks - Regional,522.02M
271,AMAM,Ambrx Biopharma,Biotechnology,776.99M
272,AMAO,American Acquisition Opportunity,Shell Companies,36.39M
273,AMAT,Applied Materials,Semiconductor Equipment & Materials,118.29B
274,AMBA,Ambarella,Semiconductor Equipment & Materials,2.20B
275,AMBC,Ambac Financial Group,Insurance - Specialty,549.99M
276,AMBI,Ambipar Emergency Response,Waste Management,343.67M
277,AMBO,Ambow Education Holding,Education & Training Services,3.98M
278,AMBP,Ardagh Metal Packaging,Packaging & Containers,1.69B
279,AMC,AMC Entertainment Holdings,Entertainment,1.97B
280,AMCR,Amcor,Packaging & Containers,13.00B
281,AMCX,AMC Networks,Entertainment,536.41M
282,AMD,Advanced Micro Devices,Semiconductors,176.12B
283,AME,AMETEK,Specialty Industrial Machinery,34.90B
284,AMED,Amedisys,Medical Care Facilities,3.02B
285,AMEH,Apollo Medical Holdings,Medical Care Facilities,1.57B
286,AMG,Affiliated Managers Group,Asset Management,4.58B
287,AMGN,Amgen,Drug Manufacturers - General,145.09B
288,AMH,American Homes 4 Rent,REIT - Residential,14.21B
289,AMK,AssetMark Financial Holdings,Asset Management,1.83B
290,AMKR,Amkor Technology,Semiconductors,5.70B
291,AMLI,American Lithium,Other Industrial Metals & Mining,283.34M
292,AMLX,Amylyx Pharmaceuticals,Biotechnology,1.23B
293,AMN,AMN Healthcare Services,Medical Care Facilities,3.05B
294,AMNB,American National Bankshares,Banks - Regional,410.61M
295,AMP,Ameriprise Financial,Asset Management,33.75B
296,AMPE,Ampio Pharmaceuticals,Biotechnology,2.11M
297,AMPG,AmpliTech Group,Communication Equipment,19.51M
298,AMPH,Amphastar Pharmaceuticals,Drug Manufacturers - Specialty & Generic,2.34B
299,AMPL,Amplitude,Software - Application,1.30B
300,AMPS,Altus Power,Utilities - Renewable,831.52M
301,AMPX,Amprius Technologies,Electrical Equipment & Parts,380.34M
302,AMPY,Amplify Energy,Oil & Gas E&P,279.69M
303,AMR,Alpha Metallurgical Resources,Coking Coal,3.46B
304,AMRC,Ameresco,Engineering & Construction,1.87B
305,AMRK,A-Mark Precious Metals,Capital Markets,685.72M
306,AMRN,Amarin Corporation,Biotechnology,336.81M
307,AMRX,Amneal Pharmaceuticals,Drug Manufacturers - Specialty & Generic,1.24B
308,AMS,American Shared Hospital Services,Medical Care Facilities,16.17M
309,AMSC,American Superconductor,Specialty Industrial Machinery,206.85M
310,AMSF,AMERISAFE,Insurance - Specialty,975.88M
311,AMST,Amesite,Software - Application,6.65M
312,AMSWA,American Software,Software - Application,387.45M
313,AMT,American Tower,REIT - Specialty,73.91B
314,AMTB,Amerant Bancorp,Banks - Regional,638.96M
315,AMTD,AMTD IDEA Group,Asset Management,3.59B
316,AMTI,Applied Molecular Transport,Biotechnology,6.47M
317,AMTX,Aemetis,Oil & Gas Refining & Marketing,173.65M
318,AMWD,American Woodmark,"Furnishings, Fixtures & Appliances",1.25B
319,AMWL,American Well,Health Information Services,330.22M
320,AMX,América Móvil,Telecom Services,53.30B
321,AMZN,Amazon.com,Internet Retail,"1,335.95B"
322,AN,AutoNation,Auto & Truck Dealerships,6.28B
323,ANAB,AnaptysBio,Biotechnology,520.03M
324,ANDE,The Andersons,Food Distribution,1.75B
325,ANEB,Anebulo Pharmaceuticals,Biotechnology,77.16M
326,ANET,Arista Networks,Computer Hardware,60.28B
327,ANF,Abercrombie & Fitch Co.,Apparel Retail,3.01B
328,ANGH,Anghami,Entertainment,19.50M
329,ANGI,Angi Inc.,Internet Content & Information,926.50M
330,ANGO,AngioDynamics,Medical Instruments & Supplies,294.27M
331,ANIK,Anika Therapeutics,Medical Devices,277.41M
332,ANIP,ANI Pharmaceuticals,Drug Manufacturers - Specialty & Generic,1.20B
333,ANIX,Anixa Biosciences,Biotechnology,102.53M
334,ANL,Adlai Nortye,Biotechnology,391.88M
335,ANNX,Annexon,Biotechnology,103.82M
336,ANSS,ANSYS,Software - Application,26.32B
337,ANTE,AirNet Technology,Telecom Services,8.12M
338,ANTX,AN2 Therapeutics,Biotechnology,452.43M
339,ANVS,Annovis Bio,Biotechnology,72.55M
340,ANY,Sphere 3D,Software - Application,14.64M
